Neighborhood,Year,Number of Rent Regulated Housing
East Tremont,2005,0.68587
Bedford Park,2005,0.91404
Riverdale,2005,0.82753
Unionport/Soundview,2005,0.57255
Throgs Neck,2005,0.51613
Pelham Parkway,2005,0.58163
Williamsbridge,2005,0.43618
Williamsburg/Greenpoint,2005,0.6404
Fort Greene/Brooklyn Hts,2005,0.48243
Bedford Stuyvesant,2005,0.29798
Bushwick,2005,0.39865
East New York,2005,0.34373
Park Slope,2005,0.32628
Sunset Park,2005,0.42856
Crown Heights North,2005,0.63133
Crown Heights South,2005,0.87033
Bay Ridge,2005,0.55531
Bensonhurst,2005,0.45431
Borough Park,2005,0.53825
Coney Island,2005,0.54241
Flatbush/Midwood,2005,0.81389
Sheepshead Bay,2005,0.58119
Brownsville,2005,0.43504
East Flatbush,2005,0.51893
Canarsie,2005,0.12235
Astoria,2005,0.55906
Sunnyside/Woodside,2005,0.70977
Jackson Heights,2005,0.44733
Elmhurst/Corona,2005,0.57462
Ridgewood/Glendale,2005,0.2801
Rego Park/Forest Hills,2005,0.81156
Flushing,2005,0.53055
Fresh Meadows/Briarwood,2005,0.69225
Woodhaven,2005,0.34175
Howard Beach,2005,0.15206
Bayside,2005,0.13515
Jamaica/St. Albans,2005,0.39409
Queens Village,2005,0.23433
The Rockaways,2005,0.58682
St. George,2005,0.35512
South Beach,2005,0.06315
Tottenville,2005,0.18236
Bronx,2005,0.71749
Brooklyn,2005,0.51174
Manhattan,2005,0.67786
Queens,2005,0.50226
Staten Island,2005,0.22766
New York City,2005,0.5855
Battery Park/Tribeca,2008,0.53683
Greenwich Village,2008,0.53683
Lower East Side,2008,0.47911
Chelsea/Clinton,2008,0.57144
Midtown Business District,2008,0.57144
Murray Hill/Stuyvesant,2008,0.49505
Upper West Side,2008,0.58366
Upper East Side,2008,0.5376
Manhattanville,2008,0.7347
Central Harlem,2008,0.62004
East Harlem,2008,0.49279
Washington Heights,2008,0.92412
Mott Haven,2008,0.62513
Hunts Point,2008,0.62513
Morrisania,2008,0.63613
Concourse/Highbridge,2008,0.84385
University Heights,2008,0.93134
East Tremont,2008,0.63613
Bedford Park,2008,0.89135
Riverdale,2008,0.70453
Unionport/Soundview,2008,0.52074
Throgs Neck,2008,0.44825
Pelham Parkway,2008,0.5247
Williamsbridge,2008,0.41238
Williamsburg/Greenpoint,2008,0.58187
Fort Greene/Brooklyn Hts,2008,0.40826
