Neighborhood,Year,Poverty Rate
Tottenville,2011,5.34
South Beach,2011,7.697
St. George,2011,21.05
Queens Village,2011,8.956999999999999
Jamaica/St. Albans,2011,16.539
Bayside,2011,10.847999999999999
Howard Beach,2011,14.306
Woodhaven,2011,17.907
Fresh Meadows/Briarwood,2011,15.567
The Rockaways,2011,20.755000000000003
Borough Park,2011,30.573
Flushing,2011,13.449
Coney Island,2011,26.247
Flatbush/Midwood,2011,22.037000000000003
Sheepshead Bay,2011,14.959
Brownsville,2011,38.223
Canarsie,2011,13.694
East Flatbush,2011,17.571
Sunnyside/Woodside,2011,15.409999999999998
Jackson Heights,2011,21.44
Elmhurst/Corona,2011,23.514
Ridgewood/Glendale,2011,15.148
Rego Park/Forest Hills,2011,7.109
Astoria,2011,20.641000000000002
Sunset Park,2012,31.558000000000003
Sheepshead Bay,2012,18.346999999999998
Flatbush/Midwood,2012,18.728
Borough Park,2012,32.39
Bay Ridge,2012,16.491
Crown Heights South,2012,22.922
Fort Greene/Brooklyn Hts,2012,23.224
Canarsie,2012,12.123000000000001
East New York,2012,30.814000000000004
Brownsville,2012,36.366
Crown Heights North,2012,26.87
Park Slope,2012,10.5
Bensonhurst,2012,19.752
East Flatbush,2012,17.078
Coney Island,2012,27.465
New York City,2012,21.242
Jackson Heights,2012,24.153
Flushing,2012,14.64
Bayside,2012,7.422
Queens Village,2012,10.871
Fresh Meadows/Briarwood,2012,16.078
Elmhurst/Corona,2012,24.826
Rego Park/Forest Hills,2012,13.267999999999999
Sunnyside/Woodside,2012,16.026
Ridgewood/Glendale,2012,14.546999999999999
Woodhaven,2012,16.125
Jamaica/St. Albans,2012,18.064
Howard Beach,2012,14.510000000000002
The Rockaways,2012,18.38
Bedford Stuyvesant,2012,31.608999999999998
Astoria,2012,16.348
Bushwick,2012,33.372
Hunts Point,2012,46.109
St. George,2012,19.674
Williamsburg/Greenpoint,2012,31.511
Brooklyn,2012,24.326999999999998
Manhattan,2012,17.78
Queens,2012,16.18
Staten Island,2012,11.61
Riverdale,2012,17.081
Williamsbridge,2012,21.32
Throgs Neck,2012,13.489999999999998
Pelham Parkway,2012,18.419
Morrisania,2012,46.371
East Tremont,2012,46.371
Bedford Park,2012,30.062
University Heights,2012,42.287
Concourse/Highbridge,2012,36.964000000000006
Unionport/Soundview,2012,28.875
Bronx,2012,31.025999999999996
South Beach,2012,7.268
Mott Haven,2012,46.109
Tottenville,2012,6.529
Greenwich Village,2012,7.373
Battery Park/Tribeca,2012,7.373
Murray Hill/Stuyvesant,2012,9.074
Midtown Business District,2012,11.501
Lower East Side,2012,25.078
Upper West Side,2012,11.12
Upper East Side,2012,7.638
East Harlem,2012,31.243
Central Harlem,2012,27.527
Manhattanville,2012,29.011
Washington Heights,2012,25.288
Chelsea/Clinton,2012,11.501
Crown Heights South,2013,20.023
Flatbush/Midwood,2013,23.146
Borough Park,2013,34.255
Bay Ridge,2013,15.504000000000001
Sunset Park,2013,30.739
East Flatbush,2013,18.318
Bedford Stuyvesant,2013,37.37
East New York,2013,29.348999999999997
Brownsville,2013,35.325
Crown Heights North,2013,27.309
Park Slope,2013,10.907
Fort Greene/Brooklyn Hts,2013,18.766
Sheepshead Bay,2013,15.848999999999998
Canarsie,2013,11.768
Bensonhurst,2013,16.121
Elmhurst/Corona,2013,20.381
Astoria,2013,19.033
Jackson Heights,2013,20.624000000000002
Flushing,2013,16.936
Bayside,2013,7.0809999999999995
Queens Village,2013,8.887
Fresh Meadows/Briarwood,2013,16.448999999999998
Rego Park/Forest Hills,2013,9.674000000000001
Sunnyside/Woodside,2013,15.415000000000001
Ridgewood/Glendale,2013,13.297999999999998
Woodhaven,2013,16.319
Jamaica/St. Albans,2013,16.125999999999998
Howard Beach,2013,10.639
The Rockaways,2013,19.152
New York City,2013,20.943
Coney Island,2013,25.811
Bushwick,2013,25.032
Williamsburg/Greenpoint,2013,25.997999999999998
St. George,2013,18.244
Brooklyn,2013,23.293
Manhattan,2013,18.935
Queens,2013,15.32
Staten Island,2013,12.763
Riverdale,2013,15.482999999999999
Williamsbridge,2013,21.135
Throgs Neck,2013,9.504
Pelham Parkway,2013,21.16
Morrisania,2013,41.894999999999996
East Tremont,2013,41.894999999999996
Bedford Park,2013,35.286
University Heights,2013,43.107
Concourse/Highbridge,2013,37.598
Unionport/Soundview,2013,30.602
Mott Haven,2013,42.875
Bronx,2013,30.881999999999998
Washington Heights,2013,28.916999999999998
Hunts Point,2013,42.875
South Beach,2013,12.603
Tottenville,2013,6.866999999999999
Greenwich Village,2013,7.797
Lower East Side,2013,29.903999999999996
Murray Hill/Stuyvesant,2013,9.354
Battery Park/Tribeca,2013,7.797
Chelsea/Clinton,2013,13.691
Upper West Side,2013,10.938
Upper East Side,2013,6.239999999999999
East Harlem,2013,33.903
Central Harlem,2013,31.330999999999996
Manhattanville,2013,24.079
Midtown Business District,2013,13.691
Crown Heights South,2014,21.908
Flatbush/Midwood,2014,20.833
Borough Park,2014,32.738
Bay Ridge,2014,21.845
Sunset Park,2014,27.573999999999998
East Flatbush,2014,19.181
Bedford Stuyvesant,2014,30.287999999999997
East New York,2014,28.704
Brownsville,2014,38.59
Crown Heights North,2014,24.639
Park Slope,2014,9.064
Fort Greene/Brooklyn Hts,2014,19.394
Sheepshead Bay,2014,17.858
Canarsie,2014,12.93
Bensonhurst,2014,19.644000000000002
Fresh Meadows/Briarwood,2014,14.449000000000002
Astoria,2014,17.129
Jackson Heights,2014,17.076
Flushing,2014,18.822
Bayside,2014,7.986
Queens Village,2014,8.668
Elmhurst/Corona,2014,20.605
Rego Park/Forest Hills,2014,11.243
Sunnyside/Woodside,2014,15.815999999999999
Ridgewood/Glendale,2014,13.394
Woodhaven,2014,14.494000000000002
Jamaica/St. Albans,2014,15.148
Howard Beach,2014,15.798000000000002
The Rockaways,2014,19.724
Bushwick,2014,27.073000000000004
Coney Island,2014,32.627
Williamsburg/Greenpoint,2014,23.064999999999998
St. George,2014,22.489
South Beach,2014,9.053
Bronx,2014,31.552999999999997
Brooklyn,2014,23.400000000000002
Manhattan,2014,17.583
Queens,2014,15.201999999999998
Staten Island,2014,14.485999999999999
Riverdale,2014,22.473000000000003
Williamsbridge,2014,18.906
Throgs Neck,2014,10.993
Pelham Parkway,2014,20.206
Morrisania,2014,44.217
East Tremont,2014,44.217
Bedford Park,2014,31.451
University Heights,2014,45.428000000000004
Concourse/Highbridge,2014,37.297000000000004
Unionport/Soundview,2014,29.788999999999998
New York City,2014,20.907999999999998
Hunts Point,2014,44.993
Mott Haven,2014,44.993
Tottenville,2014,10.280000000000001
Greenwich Village,2014,7.962
Battery Park/Tribeca,2014,7.962
Murray Hill/Stuyvesant,2014,10.233
Midtown Business District,2014,13.027
Lower East Side,2014,21.812
Upper West Side,2014,8.36
Upper East Side,2014,8.118
East Harlem,2014,36.318
Central Harlem,2014,29.238999999999997
Manhattanville,2014,25.942999999999998
Washington Heights,2014,24.297
Chelsea/Clinton,2014,13.027
Crown Heights South,2015,20.204
Flatbush/Midwood,2015,22.1
Borough Park,2015,30.081999999999997
Bay Ridge,2015,13.91
Sunset Park,2015,31.564999999999998
East Flatbush,2015,16.980999999999998
Bedford Stuyvesant,2015,33.704
East New York,2015,28.431
Brownsville,2015,34.979
Crown Heights North,2015,23.809
Park Slope,2015,8.488999999999999
Fort Greene/Brooklyn Hts,2015,16.105
Sheepshead Bay,2015,16.407
Canarsie,2015,12.379
Bensonhurst,2015,20.099
Fresh Meadows/Briarwood,2015,11.286999999999999
Astoria,2015,16.715
Jackson Heights,2015,16.758
Flushing,2015,15.407000000000002
Bayside,2015,8.667
Queens Village,2015,6.622
Elmhurst/Corona,2015,20.808
Rego Park/Forest Hills,2015,14.056
Sunnyside/Woodside,2015,11.584999999999999
Ridgewood/Glendale,2015,12.296
Woodhaven,2015,15.218000000000002
Jamaica/St. Albans,2015,13.156
Howard Beach,2015,11.814
The Rockaways,2015,19.939999999999998
Bushwick,2015,29.101
Coney Island,2015,20.986
Williamsburg/Greenpoint,2015,22.820999999999998
St. George,2015,21.846
South Beach,2015,13.965
Brooklyn,2015,22.294
Manhattan,2015,17.553
Queens,2015,13.755
Staten Island,2015,14.371
New York City,2015,19.978
Riverdale,2015,17.537
Williamsbridge,2015,19.744999999999997
Throgs Neck,2015,11.806
Pelham Parkway,2015,23.683
Morrisania,2015,42.083
East Tremont,2015,42.083
Bedford Park,2015,33.253
University Heights,2015,38.266
Concourse/Highbridge,2015,36.068
Unionport/Soundview,2015,30.380000000000003
Bronx,2015,30.426
Hunts Point,2015,40.400000000000006
Mott Haven,2015,40.400000000000006
Tottenville,2015,7.266
Greenwich Village,2015,7.3660000000000005
Battery Park/Tribeca,2015,7.3660000000000005
Murray Hill/Stuyvesant,2015,10.037
Midtown Business District,2015,13.225000000000001
Lower East Side,2015,29.359
Upper West Side,2015,11.67
Upper East Side,2015,4.529
East Harlem,2015,37.491
Central Harlem,2015,24.087
Manhattanville,2015,25.604
Washington Heights,2015,21.682000000000002
Chelsea/Clinton,2015,13.225000000000001
Sunnyside/Woodside,2016,10.100000000000001
Rego Park/Forest Hills,2016,13.100000000000001
Ridgewood/Glendale,2016,9.1
Elmhurst/Corona,2016,19.3
Jackson Heights,2016,15.5
Astoria,2016,13.8
Borough Park,2016,31.7
East Flatbush,2016,14.899999999999999
Brownsville,2016,33.2
Sheepshead Bay,2016,16.2
Flatbush/Midwood,2016,21.2
Coney Island,2016,21.9
Flushing,2016,15.9
Canarsie,2016,9.1
Fresh Meadows/Briarwood,2016,13.4
St. George,2016,21.0
Howard Beach,2016,13.900000000000002
Bayside,2016,7.6
Jamaica/St. Albans,2016,11.200000000000001
Queens Village,2016,8.3
The Rockaways,2016,22.8
South Beach,2016,12.0
Tottenville,2016,5.8999999999999995
Bronx,2016,28.7
Brooklyn,2016,20.599999999999998
Manhattan,2016,17.299999999999997
Queens,2016,13.200000000000001
Staten Island,2016,13.200000000000001
New York City,2016,18.9
Bensonhurst,2016,15.2
Woodhaven,2016,13.4
Bay Ridge,2016,15.0
Crown Heights South,2016,18.3
Crown Heights North,2016,22.7
Greenwich Village,2016,8.0
Lower East Side,2016,25.5
Chelsea/Clinton,2016,12.7
Midtown Business District,2016,12.7
Murray Hill/Stuyvesant,2016,7.1
Upper West Side,2016,10.4
Upper East Side,2016,6.5
Manhattanville,2016,27.500000000000004
Central Harlem,2016,27.200000000000003
East Harlem,2016,32.300000000000004
Washington Heights,2016,22.2
Mott Haven,2016,36.9
Hunts Point,2016,36.9
Morrisania,2016,36.3
Concourse/Highbridge,2016,34.9
Battery Park/Tribeca,2016,8.0
East Tremont,2016,36.3
University Heights,2016,41.099999999999994
Sunset Park,2016,25.8
Park Slope,2016,10.6
East New York,2016,29.099999999999998
Bedford Stuyvesant,2016,26.700000000000003
Fort Greene/Brooklyn Hts,2016,15.5
Bushwick,2016,28.7
Williamsbridge,2016,17.599999999999998
Pelham Parkway,2016,19.6
Throgs Neck,2016,14.7
Unionport/Soundview,2016,28.000000000000004
Riverdale,2016,17.8
Bedford Park,2016,31.0
Williamsburg/Greenpoint,2016,20.9
Sheepshead Bay,2017,14.000000000000002
Jackson Heights,2017,13.5
Astoria,2017,13.0
