Neighborhood,Year,Unemployment Rate
Tottenville,2014,5.6000000000000005
South Beach,2014,5.8999999999999995
St. George,2014,6.9
Williamsburg/Greenpoint,2014,6.4
Bushwick,2014,13.5
Bedford Stuyvesant,2014,12.5
Fort Greene/Brooklyn Hts,2014,8.5
Park Slope,2014,6.800000000000001
Crown Heights North,2014,8.1
Brownsville,2014,10.7
East New York,2014,8.4
Canarsie,2014,8.4
East Flatbush,2014,8.7
Crown Heights South,2014,10.7
Sunset Park,2014,6.5
Bay Ridge,2014,7.3999999999999995
Borough Park,2014,5.0
Flatbush/Midwood,2014,8.799999999999999
Sheepshead Bay,2014,7.199999999999999
Bensonhurst,2014,8.799999999999999
Coney Island,2014,9.0
Astoria,2014,9.0
Jackson Heights,2014,7.000000000000001
Flushing,2014,5.7
Bayside,2014,5.5
Queens Village,2014,7.6
Fresh Meadows/Briarwood,2014,8.799999999999999
Elmhurst/Corona,2014,5.5
Rego Park/Forest Hills,2014,6.4
Sunnyside/Woodside,2014,5.3
Ridgewood/Glendale,2014,7.000000000000001
Woodhaven,2014,7.7
Jamaica/St. Albans,2014,12.6
Howard Beach,2014,9.2
The Rockaways,2014,7.7
New York City,2015,7.3999999999999995
Bronx,2015,10.7
Brooklyn,2015,7.6
Manhattan,2015,6.1
Queens,2015,6.800000000000001
Staten Island,2015,5.4
Riverdale,2015,7.3999999999999995
Williamsbridge,2015,10.6
Throgs Neck,2015,7.199999999999999
Pelham Parkway,2015,12.1
Morrisania,2015,15.7
East Tremont,2015,15.7
Bedford Park,2015,15.0
University Heights,2015,7.8
Concourse/Highbridge,2015,6.800000000000001
Unionport/Soundview,2015,11.799999999999999
Mott Haven,2015,11.4
Hunts Point,2015,11.4
Washington Heights,2015,8.9
Manhattanville,2015,7.6
Central Harlem,2015,11.600000000000001
East Harlem,2015,13.100000000000001
Upper East Side,2015,2.8000000000000003
Upper West Side,2015,3.6999999999999997
Chelsea/Clinton,2015,4.8
Midtown Business District,2015,4.8
Murray Hill/Stuyvesant,2015,3.6999999999999997
Lower East Side,2015,6.5
Battery Park/Tribeca,2015,4.2
Greenwich Village,2015,4.2
Tottenville,2015,5.6000000000000005
South Beach,2015,4.9
St. George,2015,5.5
Williamsburg/Greenpoint,2015,5.2
Bushwick,2015,8.5
Bedford Stuyvesant,2015,12.0
Fort Greene/Brooklyn Hts,2015,7.1
Park Slope,2015,4.6
Crown Heights North,2015,6.3
Brownsville,2015,13.8
East New York,2015,6.5
Canarsie,2015,6.2
East Flatbush,2015,8.0
Crown Heights South,2015,9.4
Sunset Park,2015,5.8999999999999995
Bay Ridge,2015,7.7
Borough Park,2015,5.8999999999999995
Flatbush/Midwood,2015,7.3
Sheepshead Bay,2015,7.6
Bensonhurst,2015,7.3
Coney Island,2015,13.0
Astoria,2015,6.1
Jackson Heights,2015,5.0
Flushing,2015,4.7
Bayside,2015,6.2
Queens Village,2015,7.5
Fresh Meadows/Briarwood,2015,9.0
Elmhurst/Corona,2015,5.7
Rego Park/Forest Hills,2015,5.3
Sunnyside/Woodside,2015,4.7
Ridgewood/Glendale,2015,5.2
Woodhaven,2015,6.9
Jamaica/St. Albans,2015,11.1
Howard Beach,2015,8.200000000000001
The Rockaways,2015,9.8
Battery Park/Tribeca,2016,3.9
Greenwich Village,2016,3.9
Lower East Side,2016,5.6000000000000005
Chelsea/Clinton,2016,3.3000000000000003
Midtown Business District,2016,3.3000000000000003
Murray Hill/Stuyvesant,2016,3.3000000000000003
Upper West Side,2016,5.2
Upper East Side,2016,3.4000000000000004
Manhattanville,2016,7.3999999999999995
Central Harlem,2016,8.1
East Harlem,2016,7.3
Washington Heights,2016,9.0
Mott Haven,2016,10.6
Hunts Point,2016,10.6
Morrisania,2016,11.600000000000001
Concourse/Highbridge,2016,11.600000000000001
University Heights,2016,12.7
East Tremont,2016,11.600000000000001
Bedford Park,2016,10.7
Riverdale,2016,6.6000000000000005
Unionport/Soundview,2016,9.6
Throgs Neck,2016,8.4
Pelham Parkway,2016,8.5
Williamsbridge,2016,9.2
Williamsburg/Greenpoint,2016,6.1
Fort Greene/Brooklyn Hts,2016,6.3
Bedford Stuyvesant,2016,8.5
Bushwick,2016,7.3999999999999995
East New York,2016,8.0
Park Slope,2016,5.4
Sunset Park,2016,5.3
Crown Heights North,2016,6.800000000000001
Crown Heights South,2016,7.9
Bay Ridge,2016,6.800000000000001
Bensonhurst,2016,6.1
Borough Park,2016,5.1
Coney Island,2016,9.5
Flatbush/Midwood,2016,6.4
Sheepshead Bay,2016,7.5
Brownsville,2016,14.000000000000002
East Flatbush,2016,7.199999999999999
Canarsie,2016,6.800000000000001
Astoria,2016,5.6000000000000005
Sunnyside/Woodside,2016,3.5000000000000004
Jackson Heights,2016,5.1
Elmhurst/Corona,2016,4.5
Ridgewood/Glendale,2016,4.3999999999999995
Rego Park/Forest Hills,2016,4.3999999999999995
Flushing,2016,4.2
Fresh Meadows/Briarwood,2016,9.9
Woodhaven,2016,5.5
Howard Beach,2016,8.9
Bayside,2016,2.7
Jamaica/St. Albans,2016,9.1
Queens Village,2016,6.5
The Rockaways,2016,9.0
St. George,2016,4.7
South Beach,2016,5.3
Tottenville,2016,5.2
Bronx,2016,10.0
Brooklyn,2016,7.1
Manhattan,2016,5.5
Queens,2016,6.0
Staten Island,2016,5.1
New York City,2016,6.800000000000001
Riverdale,2017,8.200000000000001
Williamsbridge,2017,7.199999999999999
Throgs Neck,2017,7.7
Pelham Parkway,2017,9.9
