Neighborhood,Year,Median Rent,Median Income,RTI (%)
Jackson Heights,2009,1374.9627,63669.16607,25.914509987235963
Flushing,2009,1444.08111,64567.70543,26.83845306968035
Bayside,2009,1534.1819,88954.16241,20.69625782675053
Queens Village,2009,1461.36072,88829.50242,19.741559011650715
Fresh Meadows/Briarwood,2009,1404.58488,65722.97032,25.645552046619674
Elmhurst/Corona,2009,1383.6025,53443.34382,31.066974506536404
Rego Park/Forest Hills,2009,1471.23478,81943.58059,21.545088990356508
Sunnyside/Woodside,2009,1403.35062,68035.96862,24.751918406655292
Ridgewood/Glendale,2009,1330.52944,64826.89948,24.629210108877476
Woodhaven,2009,1374.9627,64434.40564,25.60674260298803
Jamaica/St. Albans,2009,1209.57222,66969.57026,21.673823773466157
Howard Beach,2009,1416.92745,76575.79532,22.204313163116616
The Rockaways,2009,1079.97519,63743.22151,20.33110654435137
Bronx,2009,1020.73084,40598.42744,30.170553029676654
Brooklyn,2009,1152.79638,53277.95333,25.964879833720143
Manhattan,2009,1508.2625,84800.88638,21.34311417323655
Queens,2009,1366.3229,68032.26585,24.100145122536734
Staten Island,2009,1182.41855,81821.38911,17.341458944096384
New York City,2009,1218.21202,61753.59864,23.672376285664832
Riverdale,2010,1236.618,60728.98701,24.435474277804854
Williamsbridge,2010,1124.97044,53365.1028,25.296766185560504
Throgs Neck,2010,1154.09589,57314.02818,24.163631696773194
Pelham Parkway,2010,1135.89249,52928.22108,25.75319858076741
Morrisania,2010,871.33633,24970.21775,41.87402795075745
East Tremont,2010,871.33633,24970.21775,41.87402795075745
Bedford Park,2010,1103.12636,33027.04491,40.08083785901147
University Heights,2010,1048.51614,31130.25008,40.41790106942822
Concourse/Highbridge,2010,1001.18729,32439.6817,37.035651555113745
Unionport/Soundview,2010,1083.70939,47679.57257,27.274809691105418
Mott Haven,2010,728.13621,25295.45192,34.54231435608999
Hunts Point,2010,728.13621,25295.45192,34.54231435608999
Washington Heights,2010,1088.56363,49963.49315,26.14461627169076
Manhattanville,2010,1095.845,45226.9671,29.075882914996527
Central Harlem,2010,860.41429,42881.15495,24.07810958459271
East Harlem,2010,873.76345,37103.39412,28.259305243312337
Upper East Side,2010,2073.97464,115867.10148,21.479518657240167
Upper West Side,2010,1743.88622,109221.64501,19.159787089897815
Chelsea/Clinton,2010,1898.00839,94469.6054,24.109448307275347
Midtown Business District,2010,1898.00839,94469.6054,24.109448307275347
Murray Hill/Stuyvesant,2010,2260.86293,110579.61904,24.53467953275018
Lower East Side,2010,1060.65175,51350.59262,24.786122906481854
