,Neighborhood,Year,Median Rent,Median Income,RTI (%),Poverty Rate,Unemployment Rate,RTI_x_Unemployment,Unnamed: 0,Population_x,Population_Growth_Rate,Employment Ratio,Percentage of mixed and commercial resident unit,Unstable Emp Rate,Evictions,Eviction Rate,Population_y,Eviction Rate by Population
38,Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,2504,138570.0,-0.5909868391114719,0.566,0.1279,0.49334,335.0,0.0055479191163075,138570.0,0.2417550696398932
39,Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,2504,138570.0,-0.5909868391114719,0.566,0.1279,0.49334,335.0,0.0055479191163075,337152.7623,0.0993614875686278
40,Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,2546,337152.7623,1.4330862546005627,0.566,0.1279,0.49334,335.0,0.0055479191163075,138570.0,0.2417550696398932
41,Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,2546,337152.7623,1.4330862546005627,0.566,0.1279,0.49334,335.0,0.0055479191163075,337152.7623,0.0993614875686278
42,Coney Island,2018,1156.85935,42481.19985,32.678719643084655,28.894,5.5,179.7329580369656,2505,113339.0,-0.0710603316148809,0.457,0.14366,0.3941,470.0,0.0101247280325714,113339.0,0.4146851480955364
43,Brownsville,2018,968.85635,34660.91611,33.54289933682887,27.839,6.4,214.67455575570477,2508,122128.0,0.09521033799356116,0.515,0.13074,0.44483,60.0,0.0016469038208168,122128.0,0.0491287829162845
44,East Flatbush,2018,1313.88458,62047.39808,25.410598103842357,10.211,4.8,121.97087089844331,2509,135931.0,-0.029667278191409574,0.608,0.11951,0.35308,1127.0,0.0193909153475567,135931.0,0.8290971154482789
45,Canarsie,2018,1443.13664,77979.58385,22.20791497594021,9.614,4.8,106.59799188451301,2510,195026.0,-0.0955819270347853,0.581,0.02995,0.31419,470.0,0.0072045005135122,195026.0,0.2409935085578333
46,Astoria,2018,1736.89132,72043.60287,28.930668386490705,13.941,4.3999999999999995,127.29494090055908,2511,160871.0,-0.020995490533772365,0.672,0.18285,0.2389,280.0,0.0032022690363457,160871.0,0.1740525016939038
47,Sunnyside/Woodside,2018,1757.1871,75907.27809,27.77895049141262,7.795000000000001,4.3,119.44948711307426,2512,137490.0,0.027409544021162358,0.662,0.3624,0.09582,670.0,0.0099638624094701,137490.0,0.4873081678667539
48,Ridgewood/Glendale,2018,1587.34348,81960.76094,23.240537961750167,9.756,4.1000000000000005,95.28620564317569,2515,186441.0,-0.06331295247760538,0.626,0.08345,0.18535,299.0,0.0045078321699407,186441.0,0.1603724502657677
49,Flushing,2018,1545.68373,56790.79157,32.66058501251491,14.339,4.5,146.97263255631708,2517,239000.0,-0.08176516240078069,0.541,0.15159,0.26658,314.0,0.0032619987533762,239000.0,0.1313807531380753
50,Fresh Meadows/Briarwood,2018,1498.68298,75112.53815,23.943000999494256,12.98,7.1,169.99530709640922,2518,164615.0,0.0019721104625329833,0.59,0.09246,0.22215,172.0,0.0029137726579705,164615.0,0.1044862254351061
51,Woodhaven,2018,1646.09442,76692.40424,25.756309553400957,12.508,5.3,136.50844063302506,2519,139079.0,-0.08670698633465324,0.61,0.09056,0.24655,461.0,0.0099777070752981,139079.0,0.3314662889436939
52,Bayside,2018,1889.64376,92226.15183,24.58708801143308,6.093,3.5000000000000004,86.0548080400158,2521,115744.0,-0.024656610769360432,0.582,0.01897,0.18624,55.0,0.0012177571128085,115744.0,0.0475186618744816
53,Jamaica/St. Albans,2018,1298.92979,68611.47998,22.71800212521811,13.062,7.1,161.29781508904858,2522,241539.0,-0.03125162936016779,0.597,0.06603,0.29555,949.0,0.0123374934997399,241539.0,0.3928972132864671
54,The Rockaways,2018,1243.38345,64786.25992,23.03050279245075,16.398,7.5,172.72877094338062,2524,127676.0,-0.040398042855746996,0.569,0.04041,0.16698,461.0,0.0100646231770151,127676.0,0.3610702089664463
55,St. George,2018,1173.95053,78136.60908,18.029201069599324,16.952,5.5,99.16060588279629,2525,174606.0,-0.01147017527967753,0.547,0.04922,0.27543,315.0,0.0048454829331323,174606.0,0.180406171609223
56,South Beach,2018,1249.79265,96545.94796,15.534066542299245,9.346,3.8,59.02945286073713,2526,137973.0,-0.04029464546554817,0.56,0.01642,0.13112,144.0,0.0029549372075843,137973.0,0.1043682459611663
