"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Brooklyn,Multi-Family Walk-Up,2018,Percent,0.25298,36047
Manhattan,Multi-Family Walk-Up,2018,Percent,0.15791,36061
Queens,Multi-Family Walk-Up,2018,Percent,0.23381,36081
Staten Island,Multi-Family Walk-Up,2018,Percent,0.10415,36085
New York City,Multi-Family Walk-Up,2018,Percent,0.23949,3651000
Battery Park/Tribeca,Multi-Family Elevator,2018,Number,14580,101
Greenwich Village,Multi-Family Elevator,2018,Number,18683,102
Lower East Side,Multi-Family Elevator,2018,Number,27794,103
Chelsea/Clinton,Multi-Family Elevator,2018,Number,29087,104
Midtown Business District,Multi-Family Elevator,2018,Number,13955,105
Murray Hill/Stuyvesant,Multi-Family Elevator,2018,Number,40223,106
Upper West Side,Multi-Family Elevator,2018,Number,58597,107
Upper East Side,Multi-Family Elevator,2018,Number,68880,108
Manhattanville,Multi-Family Elevator,2018,Number,23151,109
Central Harlem,Multi-Family Elevator,2018,Number,19880,110
East Harlem,Multi-Family Elevator,2018,Number,30204,111
Washington Heights,Multi-Family Elevator,2018,Number,25280,112
Mott Haven,Multi-Family Elevator,2018,Number,18335,201
Hunts Point,Multi-Family Elevator,2018,Number,5831,202
Morrisania,Multi-Family Elevator,2018,Number,12047,203
Concourse/Highbridge,Multi-Family Elevator,2018,Number,22394,204
University Heights,Multi-Family Elevator,2018,Number,23301,205
East Tremont,Multi-Family Elevator,2018,Number,9820,206
Bedford Park,Multi-Family Elevator,2018,Number,20434,207
Riverdale,Multi-Family Elevator,2018,Number,28670,208
Unionport/Soundview,Multi-Family Elevator,2018,Number,26700,209
Throgs Neck,Multi-Family Elevator,2018,Number,20528,210
Pelham Parkway,Multi-Family Elevator,2018,Number,24830,211
Williamsbridge,Multi-Family Elevator,2018,Number,11244,212
Williamsburg/Greenpoint,Multi-Family Elevator,2018,Number,21312,301
Fort Greene/Brooklyn Hts,Multi-Family Elevator,2018,Number,19689,302
Bedford Stuyvesant,Multi-Family Elevator,2018,Number,17096,303
Bushwick,Multi-Family Elevator,2018,Number,4250,304
East New York,Multi-Family Elevator,2018,Number,17342,305
Park Slope,Multi-Family Elevator,2018,Number,9758,306
Sunset Park,Multi-Family Elevator,2018,Number,3580,307
Crown Heights North,Multi-Family Elevator,2018,Number,13001,308
Crown Heights South,Multi-Family Elevator,2018,Number,15109,309
Bay Ridge,Multi-Family Elevator,2018,Number,12523,310
Bensonhurst,Multi-Family Elevator,2018,Number,8649,311
Borough Park,Multi-Family Elevator,2018,Number,12864,312
Coney Island,Multi-Family Elevator,2018,Number,27951,313
Flatbush/Midwood,Multi-Family Elevator,2018,Number,32545,314
Sheepshead Bay,Multi-Family Elevator,2018,Number,24430,315
Brownsville,Multi-Family Elevator,2018,Number,12255,316
East Flatbush,Multi-Family Elevator,2018,Number,12197,317
Canarsie,Multi-Family Elevator,2018,Number,7736,318
Astoria,Multi-Family Elevator,2018,Number,18666,401
Sunnyside/Woodside,Multi-Family Elevator,2018,Number,18980,402
Jackson Heights,Multi-Family Elevator,2018,Number,17736,403
Elmhurst/Corona,Multi-Family Elevator,2018,Number,18156,404
Ridgewood/Glendale,Multi-Family Elevator,2018,Number,1819,405
Rego Park/Forest Hills,Multi-Family Elevator,2018,Number,33645,406
Flushing,Multi-Family Elevator,2018,Number,27397,407
Fresh Meadows/Briarwood,Multi-Family Elevator,2018,Number,18077,408
Woodhaven,Multi-Family Elevator,2018,Number,8225,409
Howard Beach,Multi-Family Elevator,2018,Number,2183,410
