"Name","Occupied Public Housing and Rent Regulated Units"
"Description","Numbers and percents refer to the count and share of <em>all occupied rental units</em> for each geography. ""Rent Regulated"" includes any of the following building types: Rent-Stabilized pre- and post-1947, Rent-Controlled, HUD regulated (Section 8), Mitchell Lama rentals, and Article 4 or 5 buildings."
"Source Notes","U.S. Census Bureau, New York City Housing and Vacancy Survey (2002, 2005, 2008, 2011, 2014, &amp; 2017); Retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hpd/about/nychvs.page"">https://www1.nyc.gov/site/hpd/about/nychvs.page</a>."
"Notes",""

Location,Housing Type,TimeFrame,DataFormat,Data,Fips
Williamsbridge,Public Housing,2005,Number,2592.23328,212
Williamsbridge,Rent Regulated,2005,Number,14663.72124,212
Williamsburg/Greenpoint,Public Housing,2005,Number,4534.76613,301
Williamsburg/Greenpoint,Rent Regulated,2005,Number,27633.39374,301
Fort Greene/Brooklyn Hts,Public Housing,2005,Number,5153.15191,302
Fort Greene/Brooklyn Hts,Rent Regulated,2005,Number,15401.1615,302
Bedford Stuyvesant,Public Housing,2005,Number,7847.97574,303
Bedford Stuyvesant,Rent Regulated,2005,Number,10285.64462,303
Bushwick,Public Housing,2005,Number,4372.68026,304
Bushwick,Rent Regulated,2005,Number,12706.53439,304
East New York,Public Housing,2005,Number,8003.55742,305
East New York,Rent Regulated,2005,Number,12462.22452,305
Park Slope,Public Housing,2005,Number,3440.77835,306
Park Slope,Rent Regulated,2005,Number,10158.2267,306
Sunset Park,Public Housing,2005,Number,0,307
Sunset Park,Rent Regulated,2005,Number,13383.72987,307
Crown Heights North,Public Housing,2005,Number,3642.51732,308
Crown Heights North,Rent Regulated,2005,Number,24651.55926,308
Crown Heights South,Public Housing,2005,Number,0,309
Crown Heights South,Rent Regulated,2005,Number,28809.25514,309
Bay Ridge,Public Housing,2005,Number,0,310
Bay Ridge,Rent Regulated,2005,Number,17775.95908,310
Bensonhurst,Public Housing,2005,Number,0,311
Bensonhurst,Rent Regulated,2005,Number,20108.17831,311
Borough Park,Public Housing,2005,Number,0,312
Borough Park,Rent Regulated,2005,Number,17390.51771,312
Coney Island,Public Housing,2005,Number,6577.35871,313
Coney Island,Rent Regulated,2005,Number,16596.38837,313
Flatbush/Midwood,Public Housing,2005,Number,0,314
Flatbush/Midwood,Rent Regulated,2005,Number,35422.56471,314
Sheepshead Bay,Public Housing,2005,Number,2868.16877,315
Sheepshead Bay,Rent Regulated,2005,Number,21365.32906,315
Brownsville,Public Housing,2005,Number,8593.87079,316
Brownsville,Rent Regulated,2005,Number,13572.95433,316
East Flatbush,Public Housing,2005,Number,0,317
East Flatbush,Rent Regulated,2005,Number,16612.53934,317
Canarsie,Public Housing,2005,Number,4550.26607,318
Canarsie,Rent Regulated,2005,Number,3109.13573,318
Astoria,Public Housing,2005,Number,7115.17097,401
Astoria,Rent Regulated,2005,Number,34782.8653,401
Sunnyside/Woodside,Public Housing,2005,Number,0,402
Sunnyside/Woodside,Rent Regulated,2005,Number,25581.0214,402
Jackson Heights,Public Housing,2005,Number,0,403
Jackson Heights,Rent Regulated,2005,Number,15301.2569,403
Elmhurst/Corona,Public Housing,2005,Number,0,404
Elmhurst/Corona,Rent Regulated,2005,Number,20059.5579,404
Ridgewood/Glendale,Public Housing,2005,Number,0,405
Ridgewood/Glendale,Rent Regulated,2005,Number,9589.66183,405
Rego Park/Forest Hills,Public Housing,2005,Number,0,406
Rego Park/Forest Hills,Rent Regulated,2005,Number,23740.01912,406
Flushing,Public Housing,2005,Number,0,407
Flushing,Rent Regulated,2005,Number,23457.1469,407
Fresh Meadows/Briarwood,Public Housing,2005,Number,2588.53669,408
Fresh Meadows/Briarwood,Rent Regulated,2005,Number,19061.99729,408
Woodhaven,Public Housing,2005,Number,0,409
Woodhaven,Rent Regulated,2005,Number,8748.60832,409
Howard Beach,Public Housing,2005,Number,0,410
Howard Beach,Rent Regulated,2005,Number,2144.14979,410
Bayside,Public Housing,2005,Number,0,411
Bayside,Rent Regulated,2005,Number,1586.57028,411
Jamaica/St. Albans,Public Housing,2005,Number,2981.66421,412
Jamaica/St. Albans,Rent Regulated,2005,Number,11343.90537,412
Queens Village,Public Housing,2005,Number,533.58072,413
Queens Village,Rent Regulated,2005,Number,4249.79647,413
The Rockaways,Public Housing,2005,Number,3811.42352,414
The Rockaways,Rent Regulated,2005,Number,12121.34118,414
St. George,Public Housing,2005,Number,1820.14814,501
St. George,Rent Regulated,2005,Number,8361.6319,501
South Beach,Public Housing,2005,Number,592.72247,502
South Beach,Rent Regulated,2005,Number,887.19165,502
Tottenville,Public Housing,2005,Number,0,503
Tottenville,Rent Regulated,2005,Number,2777.16979,503
Bronx,Public Housing,2005,Number,37850.99969,36005
Bronx,Rent Regulated,2005,Number,262895.60898,36005
Brooklyn,Public Housing,2005,Number,59585.09147,36047
