Neighborhood,Year,Unit,Evictions,UHFNAME,Eviction Rate
Fort Greene/Brooklyn Hts,2018,68650,30.0,Downtown  - Heights - Slope,0.043699927166788055
Bedford Stuyvesant,2018,70496,393.0,Bedford Stuyvesant - Crown Heights,0.5574784384929641
Bedford Stuyvesant,2018,70496,277.0,Bedford Stuyvesant - Crown Heights,0.39293009532455747
Bedford Stuyvesant,2018,70496,148.0,Bedford Stuyvesant - Crown Heights,0.20994098955969134
Bedford Stuyvesant,2018,70496,369.0,Bedford Stuyvesant - Crown Heights,0.5234339536995006
Bedford Stuyvesant,2018,70496,79.0,Bedford Stuyvesant - Crown Heights,0.11206309577848389
East New York,2018,65804,444.0,East New York,0.6747310193909185
East New York,2018,65804,472.0,East New York,0.7172816242173728
Sunset Park,2018,41436,89.0,Sunset Park,0.2147890723042765
Sunset Park,2018,41436,24.0,Sunset Park,0.057920648711265565
Bay Ridge,2018,52070,116.0,Bensonhurst - Bay Ridge,0.2227770309199155
Bay Ridge,2018,52070,117.0,Bensonhurst - Bay Ridge,0.22469752256577685
Bay Ridge,2018,52070,25.0,Bensonhurst - Bay Ridge,0.04801229114653351
Borough Park,2018,60383,71.0,Borough Park,0.11758276336054851
Borough Park,2018,60383,74.0,Borough Park,0.12255104913634632
Borough Park,2018,60383,56.0,Borough Park,0.09274133448155938
Borough Park,2018,60383,134.0,Borough Park,0.2219167646523028
Coney Island,2018,46421,95.0,Coney Island - Sheepshead Bay,0.20464875810516792
Coney Island,2018,46421,100.0,Coney Island - Sheepshead Bay,0.21541974537386097
Coney Island,2018,46421,113.0,Coney Island - Sheepshead Bay,0.24342431227246292
Coney Island,2018,46421,162.0,Coney Island - Sheepshead Bay,0.3489799875056548
Brownsville,2018,36432,60.0,Willowbrook,0.16469038208168643
East Flatbush,2018,58120,293.0,East Flatbush - Flatbush,0.5041293874741913
East Flatbush,2018,58120,250.0,East Flatbush - Flatbush,0.4301445285615967
East Flatbush,2018,58120,185.0,East Flatbush - Flatbush,0.31830695113558155
East Flatbush,2018,58120,399.0,East Flatbush - Flatbush,0.6865106675843083
Canarsie,2018,65237,149.0,Canarsie - Flatlands,0.22839799500283584
Canarsie,2018,65237,278.0,Canarsie - Flatlands,0.42613854101200244
Canarsie,2018,65237,43.0,Canarsie - Flatlands,0.06591351533638885
Astoria,2018,87438,47.0,Long Island City - Astoria,0.05375237311008944
Astoria,2018,87438,40.0,Long Island City - Astoria,0.04574670051922505
Astoria,2018,87438,37.0,Long Island City - Astoria,0.042315697980283166
